release_date,release_date_precision,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,popularity,peak-rank
9/3/2021,day,0.568,0.56,9,-9.059,1,0.42,0.228,3.05E-06,0.39,0.246,130.019,4,308756,74,9
9/3/2021,day,0.73,0.576,2,-5.442,1,0.287,0.354,3.59E-05,0.15,0.155,92.131,4,228461,72,10
10/5/2021,day,0.657,0.496,5,-7.346,1,0.0889,0.213,0,0.12,0.352,146.061,4,157845,65,40
10/5/2021,day,0.606,0.671,10,-7.529,0,0.352,0.415,0,0.176,0.642,168.201,4,148571,58,37
2/19/2021,day,0.659,0.683,3,-5.623,1,0.0312,0.513,4.93E-06,0.133,0.397,139.931,4,203373,71,32
10/5/2021,day,0.558,0.635,2,-7.024,1,0.476,0.256,0,0.12,0.58,139.575,4,178286,55,53
10/5/2021,day,0.772,0.786,2,-5.874,1,0.366,0.0825,0,0.347,0.668,78.517,4,161309,56,59
10/5/2021,day,0.764,0.702,10,-6.837,0,0.269,0.175,0,0.0934,0.873,85.953,4,135000,56,61
10/5/2021,day,0.723,0.549,5,-6.743,1,0.0641,0.658,0,0.0886,0.526,149.991,4,192000,60,62
10/5/2021,day,0.586,0.516,7,-7.018,1,0.341,0.159,0,0.135,0.505,110.343,5,174545,55,67
10/5/2021,day,0.607,0.565,5,-7.417,0,0.412,0.0824,0,0.185,0.373,107.981,5,177778,55,69
8/13/2021,day,0.827,0.731,4,-5.524,0,0.088,0.13,0,0.418,0.607,118.992,4,172833,73,4
10/5/2021,day,0.615,0.633,6,-7.053,1,0.373,0.115,0,0.31,0.509,174.075,4,188752,54,80
10/5/2021,day,0.882,0.644,10,-8.341,1,0.51,0.103,0,0.094,0.475,148.133,4,155676,51,83
9/3/2021,day,0.507,0.429,2,-7.726,1,0.326,0.0518,0,0.109,0.0744,91,3,273578,70,12
10/5/2021,day,0.715,0.676,10,-7.869,0,0.1,0.124,0,0.0952,0.721,73.462,4,160000,55,92
9/3/2021,day,0.518,0.69,9,-6.15,1,0.107,0.128,0,0.176,0.59,77.837,4,205721,71,14
9/3/2021,day,0.701,0.741,2,-6.157,1,0.313,0.112,0,0.699,0.588,140.177,4,178623,70,8
10/5/2021,day,0.633,0.534,1,-8.605,1,0.229,0.0524,0,0.189,0.29,155.111,4,123871,58,99
8/29/2021,day,0.319,0.236,5,-9.644,1,0.0318,0.898,1.62E-05,0.272,0.254,162.351,4,156091,77,17
9/17/2021,day,0.583,0.67,8,-7.289,1,0.0646,0.0374,0.0001,0.126,0.498,140.061,4,220433,82,37
3/7/2019,day,0.45,0.329,9,-12.603,0,0.0441,0.818,0.00109,0.135,0.266,71.884,3,183624,80,30
9/17/2021,day,0.841,0.527,6,-8.116,1,0.149,0.0427,1.54E-06,0.12,0.582,163.975,4,174164,70,42
9/17/2021,day,0.923,0.533,11,-6.016,0,0.262,0.0504,0,0.102,0.587,133.991,4,145075,65,47
9/9/2021,day,0.718,0.628,0,-5.334,1,0.373,0.0884,0,0.186,0.771,139.769,4,154433,68,63
9/17/2021,day,0.685,0.717,0,-6.456,0,0.0411,0.101,1.87E-05,0.266,0.549,127.963,4,221203,64,72
9/17/2021,day,0.742,0.734,8,-5.582,0,0.0407,0.629,0.00314,0.0834,0.541,114.952,4,146006,67,86
9/17/2021,day,0.708,0.598,3,-4.969,0,0.0617,0.202,0,0.183,0.561,144.09,4,161667,60,88
9/3/2021,day,0.488,0.635,10,-7.19,1,0.26,0.179,8.16E-06,0.156,0.783,174.072,4,269884,69,18
9/17/2021,day,0.768,0.764,0,-5.82,1,0.0295,0.0963,1.03E-05,0.114,0.472,92.965,4,170323,61,90
5/21/2021,day,0.551,0.636,2,-6.798,1,0.054,0.0837,4.28E-06,0.112,0.148,174.065,4,168276,65,66
9/3/2021,day,0.724,0.531,5,-4.108,0,0.298,0.225,0,0.11,0.141,89.901,4,239635,65,16
8/29/2021,day,0.546,0.64,8,-5.582,1,0.37,0.0438,0,0.137,0.63,137.728,4,339250,75,11
7/2/2021,day,0.915,0.72,8,-3.126,1,0.0459,0.025,1.42E-05,0.0942,0.631,126.986,4,131067,76,90
,,,,,,,,,,,,,,,,14
9/17/2021,day,0.629,0.445,3,-6.999,1,0.0258,0.77,2.92E-06,0.351,0.209,94.103,4,183241,64,97
7/23/2021,day,0.666,0.796,10,-6.967,0,0.103,0.0492,0,0.0442,0.61,110.108,4,164842,78,42
4/30/2021,day,0.359,0.706,5,-6.151,1,0.0309,0.000602,0,0.285,0.479,174.079,4,171333,71,42
9/10/2021,day,0.667,0.582,11,-5.791,0,0.267,0.00466,0,0.124,0.141,121.972,4,316733,69,53
4/30/2021,day,0.477,0.727,2,-4.053,1,0.286,0.000866,0,0.108,0.227,150.062,4,236524,78,20
9/3/2021,day,0.59,0.493,7,-8.704,0,0.0367,0.402,0.00504,0.129,0.0498,150.026,4,252379,71,22
9/3/2021,day,0.476,0.161,8,-11.665,0,0.0407,0.967,0.0381,0.109,0.0908,119.614,4,133763,79,24
9/3/2021,day,0.32,0.466,8,-6.77,1,0.0374,0.00645,0,0.133,0.338,177.693,3,229304,67,27
9/3/2021,day,0.519,0.851,7,-6.001,1,0.29,0.118,0,0.178,0.711,123.823,5,213104,67,25
9/10/2021,day,0.806,0.653,8,-6.283,1,0.0902,0.0282,0.000784,0.107,0.85,150.058,4,200690,75,84
9/3/2021,day,0.843,0.485,10,-8.735,0,0.195,0.181,0.0675,0.107,0.689,100.053,4,192418,72,26
5/22/2020,day,0.623,0.79,7,-5.07,1,0.0473,0.118,0,0.226,0.694,81.949,4,187684,67,26
4/23/2021,day,0.469,0.673,6,-8.015,1,0.0337,0.418,1.41E-05,0.119,0.578,175.954,4,174838,68,41
8/29/2021,day,0.458,0.571,4,-6.739,1,0.0949,0.535,0.000305,0.0846,0.586,110.013,4,297000,69,10
,,,,,,,,,,,,,,,,32
9/3/2021,day,0.473,0.53,0,-8.506,1,0.249,0.812,6.92E-06,0.227,0.637,74.732,3,351220,61,35
8/29/2021,day,0.738,0.471,11,-9.208,0,0.402,0.319,1.28E-06,0.13,0.283,107.98,5,204630,62,12
8/29/2021,day,0.752,0.69,7,-3.948,1,0.0642,0.27,0,0.303,0.396,148.07,4,147669,61,16
8/29/2021,day,0.595,0.656,7,-7.868,1,0.247,0.148,0,0.47,0.416,99.811,4,242400,70,28
8/29/2021,day,0.459,0.431,9,-8.375,0,0.256,0.795,0,0.274,0.128,177.3,4,195170,63,27
8/29/2021,day,0.477,0.713,1,-6.805,1,0.126,0.0984,0.00844,0.0879,0.113,106.137,5,538537,61,26
7/9/2021,day,0.797,0.631,3,-3.818,0,0.0786,0.0904,3.71E-06,0.0998,0.288,129.915,4,184213,78,13
8/29/2021,day,0.792,0.548,4,-7.079,1,0.082,0.0784,7.26E-05,0.167,0.197,110.105,4,198614,63,40
8/29/2021,day,0.325,0.311,10,-7.481,1,0.0442,0.289,6.74E-05,0.11,0.0789,92.744,3,333462,59,30
3/27/2020,day,0.449,0.465,0,-8.964,1,0.0791,0.524,1.02E-06,0.303,0.543,89.087,3,198371,84,16
10/23/2020,day,0.487,0.65,0,-5.195,1,0.0253,0.191,0,0.0933,0.456,151.964,4,232533,79,2
8/29/2021,day,0.764,0.422,0,-7.265,0,0.119,0.0409,0,0.152,0.268,82.986,4,145301,67,42
8/29/2021,day,0.386,0.534,5,-6.086,0,0.0389,0.129,0,0.351,0.343,110.057,4,197898,64,43
8/29/2021,day,0.381,0.528,5,-6.997,1,0.0449,0.102,0,0.269,0.256,97.207,4,358622,67,52
8/29/2021,day,0.161,0.327,1,-8.059,0,0.0341,0.00632,0.792,0.138,0.0815,135.382,3,178061,66,53
8/29/2021,day,0.534,0.491,10,-7.945,1,0.0545,0.849,0,0.192,0.428,105.989,5,128313,56,58
8/29/2021,day,0.513,0.644,0,-6.387,1,0.344,0.201,0.00033,0.194,0.087,166.35,4,221250,60,59
8/29/2021,day,0.7,0.572,4,-6.459,1,0.0515,0.453,0,0.0871,0.686,109.985,4,297000,61,63
